iter	Passed	Remaining
0	1	127
1	2	124
2	3	116
3	4	106
4	5	106
5	6	103
6	7	100
7	8	100
8	9	98
9	10	96
10	11	95
11	12	93
12	13	91
13	14	90
14	15	89
15	16	88
16	17	87
17	18	86
18	19	84
19	21	84
20	21	82
21	22	81
22	24	80
23	25	79
24	26	78
25	27	76
26	28	75
27	28	74
28	29	73
29	31	72
30	31	71
31	32	70
32	33	68
33	34	67
34	35	66
35	36	65
36	37	64
37	38	63
38	39	62
39	40	61
40	41	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	89	8
91	90	7
92	92	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
